id,inst_f1,chord_f1,time_sig_acc,pitch_oa,velocity_oa,duration_oa,chroma_sim,groove_sim,note_density_nrmse
0,0.9647324,0.3690069,1.0000000,0.7790196,0.7911936,0.6168318,0.6656247,0.4010441,0.4050611
1,1.0000000,0.6936944,1.0000000,0.7102570,0.5665491,0.5117498,0.7167335,0.7346826,0.2240352
2,0.9817655,0.6797704,1.0000000,0.8289838,0.8344013,0.5854015,0.8510986,0.9118252,0.3757272
3,0.8358139,0.4645127,1.0000000,0.7322222,0.7616022,0.1724150,0.8983235,0.2380335,0.3643337
4,1.0000000,0.5830617,1.0000000,0.7282301,0.6650142,0.5150191,0.9377437,0.7475050,0.2625795
5,0.9183540,0.5491173,1.0000000,0.7312703,0.7049539,0.2963392,0.9094783,0.7464803,0.3956304
6,0.9866672,1.0000000,1.0000000,0.8246583,0.7655403,0.4748003,0.9002221,0.3811382,0.3245529
7,0.6154786,0.0460654,1.0000000,0.7806062,0.3031356,0.3434133,0.8350955,0.3522327,0.0962687
8,0.9909871,0.4877336,1.0000000,0.8937278,0.9203224,0.5158302,0.6083362,0.3874950,0.3697007
9,0.9755628,0.1084289,1.0000000,0.7685278,0.2753898,0.4515926,0.6304027,0.6330292,0.2894369
10,0.7421046,0.3025996,1.0000000,0.7406472,0.5532992,0.4861642,0.4370117,0.5542199,0.4076824
11,0.9801861,0.1628284,1.0000000,0.7985831,0.8741815,0.6629982,0.8399094,0.5926403,0.3696082
12,0.7299854,0.6960033,1.0000000,0.8485274,0.7173773,0.4558933,0.6984035,0.6396697,0.3439384
13,0.9703348,1.0000000,1.0000000,0.6362211,0.4482712,0.5600927,0.8291248,0.6523894,0.6081735
14,0.9884060,0.1723454,1.0000000,0.6220814,0.4793110,0.5536595,0.7289464,0.8145087,0.4139618
15,0.9161398,0.4030666,1.0000000,0.3932491,0.6557063,0.5578305,0.5798487,0.8086691,0.5538121
16,0.9843734,1.0000000,1.0000000,0.7771170,0.8218323,0.7552426,0.7946230,0.3319743,0.4675489
17,0.9569109,0.6049590,1.0000000,0.8052100,0.4565345,0.1526700,0.7318189,0.4109641,0.4805081
18,0.9910445,1.0000000,1.0000000,0.8191528,0.8530592,0.4339022,0.7703222,0.6644103,0.3998435
19,0.8609519,0.3989735,1.0000000,0.7802705,0.5443855,0.7801747,0.8496864,0.4247248,0.4243072
20,0.9812805,1.0000000,1.0000000,0.7999721,0.3797600,0.7253089,0.8591324,0.4891933,0.2899138
21,0.6716366,1.0000000,1.0000000,0.7780822,0.9070359,0.6494946,0.9002937,0.8577006,0.4713705
22,0.9034347,0.3859169,1.0000000,0.8624596,0.7114922,0.5569386,0.7483003,0.8891697,0.4834050
23,0.9017479,0.4436345,1.0000000,0.8186949,0.7643345,0.8351457,0.8335214,0.5919350,0.4754536
24,0.8046772,1.0000000,1.0000000,0.4772128,0.5419827,0.5337811,0.8020964,0.7620851,0.2077241
25,0.9904343,1.0000000,1.0000000,0.5921205,0.5955109,0.3600843,0.7935791,0.4909391,0.1324859
26,0.9129848,1.0000000,1.0000000,0.8598543,0.6353981,0.5011966,0.8597924,0.6658120,0.2586521
27,0.8355045,0.4312165,1.0000000,0.7102651,0.7604497,0.6319828,0.6112671,0.6708811,0.3396635
28,0.9629267,0.6473461,1.0000000,0.7373508,0.4813877,0.5053253,0.5195189,0.6274269,0.5014380
29,0.9385299,0.6970539,1.0000000,0.6657890,0.8557783,0.5080767,0.8818589,0.7415965,0.6326115
30,0.9808626,1.0000000,1.0000000,0.7619593,0.6640149,0.8212691,0.6825541,0.7524481,0.2177313
31,0.9437452,0.7022528,1.0000000,0.6884095,0.7567708,0.7905288,0.9135513,0.7765247,0.2410525
32,0.9600568,0.1855674,1.0000000,0.7196739,0.7917153,0.3756345,0.8998345,0.5490819,0.3921074
33,1.0000000,0.6723427,1.0000000,0.5302331,0.4962644,0.3822092,0.5371838,0.8141973,0.6454214
34,0.8806163,1.0000000,1.0000000,0.9036214,0.7256218,0.6349725,0.7553077,0.2812111,0.4902791
35,1.0000000,0.1372450,1.0000000,0.7292912,0.6784989,0.5640280,0.7759195,0.6136558,0.3011021
36,0.9316443,0.4875680,1.0000000,0.5438008,0.6892704,0.5218524,0.7137124,0.5672436,0.5341619
37,0.8395802,1.0000000,1.0000000,0.6698518,0.6877184,0.4297415,0.7592418,0.4391975,0.2611493
38,0.9073350,0.1759498,1.0000000,0.8215395,0.4238948,0.8022785,0.7518317,0.5148960,0.5210845
39,0.9641332,0.4185433,1.0000000,0.7310162,0.7603639,0.4122101,0.5452526,0.8756700,0.3564992
40,0.9861507,0.5142338,1.0000000,0.9217869,0.8380228,0.7415326,0.9101400,0.7163651,0.2031249
41,0.7531808,0.5478869,1.0000000,0.5312896,0.5391243,0.4205105,0.8649183,0.7563628,0.2957567
42,0.9912892,0.7665043,1.0000000,0.6751718,0.8113236,0.5704752,0.7463436,0.5180194,0.5126295
43,0.9911998,0.6240165,1.0000000,0.7055341,0.7205236,0.7129803,0.6214070,0.5754433,0.4528344
44,0.9891444,0.5919374,1.0000000,0.8770318,0.4364803,0.2878594,0.3956509,0.7267595,0.5255789
45,0.9909721,0.0704204,1.0000000,0.8120696,0.3807330,0.7412655,0.7287561,0.6883606,0.3192633
46,0.9719025,0.2243713,1.0000000,0.5241251,0.6346558,0.7853915,0.9566805,0.5375497,0.3553034
47,1.0000000,0.3387822,0.9375000,0.6472085,0.6506836,0.5928050,0.6621600,0.5706563,0.2003768
48,0.9326077,0.2374230,1.0000000,0.7749883,0.5701197,0.4577023,0.6997428,0.5971982,0.3033267
49,0.9731289,0.0233862,1.0000000,0.8554748,0.6274787,0.5182868,0.7280311,0.8041771,0.4843386
50,0.9288123,0.6109287,1.0000000,0.6285604,0.4867124,0.7179356,0.8117156,0.6968851,0.6040321
51,1.0000000,0.6122365,1.0000000,0.8877190,0.7564788,0.5902085,0.6605816,0.5151359,0.2665453
52,1.0000000,0.5296884,1.0000000,0.7066971,0.4680778,0.5888130,0.6744107,0.5859943,0.5811075
53,0.9909907,0.7153578,1.0000000,0.7273377,0.5455567,0.3742956,0.8117896,0.5416198,0.2938642
54,1.0000000,1.0000000,1.0000000,0.4536861,0.7111812,0.3999550,0.6983561,0.6357612,0.5640666
55,0.9906105,0.0336177,1.0000000,0.7000187,0.4018604,0.5877690,0.6541443,0.5487251,0.5373091
56,0.9648851,0.7121847,1.0000000,0.6873813,0.5339509,0.8093649,0.8684692,0.6267894,0.3213550
57,0.9535381,0.9065578,1.0000000,0.6514414,0.7276135,0.5947430,0.7138274,0.5749644,0.3572370
58,0.7930428,1.0000000,1.0000000,0.5708384,0.7641500,0.2135777,0.8044481,0.4696240,0.2609908
59,0.9674031,0.0302217,1.0000000,0.6413833,0.2034781,0.8467651,0.7043248,0.8095736,0.6678724
60,0.9759593,0.5106958,1.0000000,0.8511980,0.6348479,0.3945089,0.7739628,0.4855190,0.4045279
61,0.9912907,0.4595840,1.0000000,0.6313253,0.5679372,0.5966762,0.6981262,0.5922913,0.4610425
62,0.9799858,1.0000000,1.0000000,0.6918909,0.6631565,0.5940461,0.7439366,0.5952956,0.7107257
63,0.9853683,0.3671586,1.0000000,0.8235352,0.5081396,0.7078030,0.8173947,0.9035084,0.1726469
64,0.9654446,0.4352957,1.0000000,0.6905663,0.6304377,0.5747773,0.8536514,0.7864865,0.3455390
65,1.0000000,0.4098279,0.9375000,0.8559995,0.7355614,0.5986820,0.9029204,0.5929187,0.2356339
66,0.9520165,0.1322889,1.0000000,0.9206916,0.6773693,0.2355402,0.6473325,0.7373998,0.4435992
67,1.0000000,1.0000000,1.0000000,0.8448681,0.8844819,0.6014014,0.9339085,0.6653584,0.4240807
68,1.0000000,0.0211920,1.0000000,0.6537527,0.8146970,0.4940709,0.7710285,0.6837699,0.5424505
69,0.7729731,0.4449969,1.0000000,0.9172082,0.5820560,0.5120200,0.7353355,0.3152244,0.5305498
70,0.9846894,0.8435167,1.0000000,0.7923661,0.6064696,0.5062329,0.7853953,0.5027892,0.3706541
71,0.9821708,1.0000000,1.0000000,0.5289776,0.5619610,0.4615495,0.5716866,0.8340710,0.3783222
72,1.0000000,0.3769644,1.0000000,0.3471144,0.4623768,0.3848112,0.7771849,0.5884736,0.1059815
73,0.9538743,0.5346000,1.0000000,0.8051825,0.5696399,0.7620992,0.8685429,0.6876212,0.1013030
74,1.0000000,0.3463507,1.0000000,0.7582585,0.4763356,0.8832218,0.8858153,0.6090118,0.5706612
75,0.9912571,0.5998430,1.0000000,0.8533526,0.7027507,0.2124519,0.5488368,0.5638532,0.4001865
76,0.9530330,0.5858478,1.0000000,0.7160354,0.5695505,0.4375368,0.6911983,0.5005279,0.1875999
77,0.8381065,1.0000000,1.0000000,0.7963458,0.7461076,0.5261966,0.4988394,0.6171595,0.5353318
78,0.7349720,0.4884082,1.0000000,0.6787959,0.4232306,0.3456692,0.8587328,0.6420966,0.4289675
79,0.9805931,0.7751887,1.0000000,0.8761978,0.7299731,0.3913166,0.5492987,0.3633933,0.3697761
80,0.9892773,0.5948056,0.9375000,0.9039239,0.5390331,0.4437830,0.6625875,0.7369587,0.2948822
81,0.9875322,1.0000000,1.0000000,0.5681660,0.7514773,0.1882068,0.6371221,0.6365891,0.2688237
82,0.9912094,0.7539447,1.0000000,0.7379801,0.3787382,0.5357450,0.3438698,0.5049513,0.4794700
83,0.8372049,0.2737468,1.0000000,0.8494092,0.7366705,0.4289961,0.8294797,0.5730991,0.4119236
