id,inst_f1,chord_f1,time_sig_acc,pitch_oa,velocity_oa,duration_oa,chroma_sim,groove_sim,note_density_nrmse
0,0.9632760,0.8836381,1.0000000,0.7548384,0.6148173,0.4152664,0.8475874,0.4957970,0.3190876
1,1.0000000,1.0000000,1.0000000,0.8228300,0.7809410,0.6193293,0.7695092,0.3565444,0.3403412
2,0.7882595,1.0000000,1.0000000,0.8645922,0.6043306,0.5809962,0.8999330,0.8084883,0.3173049
3,0.9072005,1.0000000,1.0000000,0.6601425,0.5481432,0.5938658,0.6384663,0.8236439,0.0965741
4,0.7957543,0.7913038,1.0000000,0.7676867,0.5720011,0.4043955,0.8249129,0.6997243,0.5192546
5,0.9777115,0.7537380,1.0000000,0.3973156,0.6933095,0.3943141,0.6892295,0.8798180,0.5480145
6,0.9881302,0.5481603,1.0000000,0.8003265,0.6212537,0.5312113,0.5167576,0.5464868,0.4317120
7,1.0000000,0.5368478,1.0000000,0.7123173,0.5500132,0.1869053,0.5341619,0.8840806,0.4748454
8,1.0000000,1.0000000,1.0000000,0.9353567,0.6783762,0.4643742,0.9695024,0.8045991,0.1754252
9,0.9889995,1.0000000,1.0000000,0.6575199,0.5686925,0.3785375,0.6012017,0.9163585,0.2439003
10,0.9243740,1.0000000,1.0000000,0.6076870,0.4106932,0.7190102,0.5668484,0.6055206,0.4109771
11,1.0000000,0.7444999,1.0000000,0.9350081,0.6952982,0.5561995,0.8747102,0.7459049,0.4911126
12,1.0000000,0.4408643,1.0000000,0.7647604,0.4013252,0.4198024,0.7038838,0.6077011,0.2962821
13,1.0000000,0.3625130,1.0000000,0.7606289,0.3886113,0.4726771,0.7955408,0.5066920,0.0913751
14,0.9884463,1.0000000,1.0000000,0.5406485,0.7405443,0.4583883,0.2550247,0.8422529,0.2221147
15,0.9836016,0.2092020,1.0000000,0.7754663,0.7316158,0.4021779,0.4910860,0.6746221,0.5806852
16,0.9489550,0.7319911,1.0000000,0.7915496,0.5612741,0.4086119,0.7944384,0.7433376,0.3770647
17,1.0000000,1.0000000,1.0000000,0.7185742,0.5653584,0.2189876,0.7255485,0.8701851,0.3325411
18,1.0000000,0.6807071,1.0000000,0.5776785,0.7224759,0.3394242,0.8551651,0.7438466,0.4840987
19,0.9889657,0.0974357,1.0000000,0.8690098,0.5972050,0.7000332,0.7496962,0.7878737,0.1405299
20,1.0000000,0.7752295,1.0000000,0.7334900,0.7630369,0.2921334,0.5155962,0.4363285,0.4069630
21,0.9586648,0.2363814,1.0000000,0.8964472,0.6852095,0.5693985,0.6619108,0.7372445,0.3784091
22,0.9276344,1.0000000,1.0000000,0.8019345,0.4250362,0.2614649,0.4571951,0.5738696,0.2309898
23,1.0000000,0.4836284,1.0000000,0.6316522,0.7620160,0.5174969,0.7120878,0.7571896,0.1593177
24,0.9712866,0.8763103,1.0000000,0.9200812,0.7131357,0.3426241,0.5892847,0.4054369,0.5573156
25,1.0000000,0.7489054,1.0000000,0.8982813,0.4508442,0.5168287,0.5449013,0.6416194,0.3857276
26,0.9788549,0.7007463,1.0000000,0.8417253,0.3447872,0.5425767,0.8231102,0.8346517,0.4885939
27,0.9884344,0.5628965,1.0000000,0.5999660,0.6037150,0.2644826,0.8138231,0.5903504,0.4591026
28,0.9852158,0.6995685,1.0000000,0.7731315,0.7423644,0.4438872,0.8931552,0.8002991,0.3935220
29,1.0000000,0.7400000,1.0000000,0.9470714,0.7703698,0.3411954,0.8649845,0.6936201,0.3516278
30,0.9854950,0.6603550,1.0000000,0.9565506,0.3450262,0.5146323,0.6860498,0.4808735,0.4357939
31,0.9840426,0.4857931,1.0000000,0.6903230,0.5456385,0.4205033,0.5851143,0.4974905,0.2350452
32,0.9709323,0.7317885,1.0000000,0.8352725,0.6692543,0.4907647,0.5717965,0.6331244,0.3823385
33,0.9841905,1.0000000,1.0000000,0.7438780,0.9050657,0.3571794,0.6133157,0.5565611,0.3193692
34,0.9659800,0.4727959,1.0000000,0.8127745,0.6751235,0.2502039,0.9111434,0.7389522,0.6838434
35,0.9194889,0.8387767,1.0000000,0.5000818,0.4312827,0.5889972,0.5306437,0.7447923,0.3977546
36,0.9715116,0.7419486,1.0000000,0.7244019,0.8305615,0.6699175,0.6201833,0.5283015,0.3285303
37,0.8821709,0.7038181,1.0000000,0.6505432,0.5455944,0.4976388,0.8375547,0.5693370,0.4204767
38,0.9223534,0.7187876,1.0000000,0.6119038,0.4393528,0.2793186,0.8377494,0.5044286,0.3205510
39,1.0000000,1.0000000,1.0000000,0.5841926,0.4160093,0.4547956,0.7176537,0.7624005,0.2314585
40,0.9010232,0.4941082,1.0000000,0.7228433,0.3948852,0.6294985,0.7243080,0.6367308,0.2941871
41,0.9888841,0.6267407,1.0000000,0.8508091,0.6797255,0.5680227,0.7887403,0.8264634,0.3953335
42,0.9026820,0.8540875,1.0000000,0.9210136,0.3526071,0.5025910,0.8414365,0.7772841,0.4066465
43,0.9832066,0.4621657,1.0000000,0.7177118,0.7483327,0.5432107,0.7355943,0.6221393,0.2250512
44,1.0000000,0.1669762,1.0000000,0.7489664,0.5663051,0.2036830,0.7233447,0.5956897,0.2765490
