id,inst_f1,chord_f1,time_sig_acc,pitch_oa,velocity_oa,duration_oa,chroma_sim,groove_sim,note_density_nrmse
0,1.0000000,0.4893429,1.0000000,0.5596534,0.5798633,0.4169432,0.5374361,0.9084355,0.3909939
1,0.9284776,1.0000000,1.0000000,0.9666958,0.8463511,0.2607489,0.7644481,0.7884265,0.3582209
2,0.9148321,0.3705310,1.0000000,0.8235067,0.4323468,0.4093947,0.7602125,0.2267049,0.5570179
3,1.0000000,0.4889921,1.0000000,0.7060872,0.4917109,0.2934180,0.7162466,0.6049839,0.2725292
4,0.9900249,0.3938097,1.0000000,0.5893998,0.2537278,0.3804596,0.8309380,0.7133868,0.2913470
5,0.9901361,1.0000000,1.0000000,0.8652335,0.6665256,0.1341866,0.8756484,0.8372172,0.3534103
6,0.9404122,0.1415931,1.0000000,0.8291694,0.5530621,0.5846280,0.4848833,0.4417588,0.5561890
7,0.8088680,0.7400967,1.0000000,0.8227132,0.4052565,0.5240893,0.7412458,0.8657434,0.5389678
8,0.9852700,0.4194230,1.0000000,0.8124703,0.6964688,0.5587353,0.6343026,0.9334809,0.4600499
9,0.9582059,0.4913858,1.0000000,0.6036881,0.6754055,0.4057928,0.9540202,0.7195454,0.4110884
10,0.8443687,0.6037809,1.0000000,0.8251420,0.5855458,0.6138723,0.7298737,0.4633200,0.4180514
11,0.9133402,0.6705506,1.0000000,0.6673001,0.5398383,0.7898256,0.8481268,0.5734510,0.1905702
12,0.7932963,0.6851074,1.0000000,0.8243093,0.4804345,0.4022733,0.8228105,0.8243701,0.5773471
13,0.9901271,0.6530628,1.0000000,0.8292184,0.7191644,0.3512369,0.5368119,0.5320340,0.6458665
14,0.8075463,0.6762540,1.0000000,0.7592995,0.7052428,0.4426711,0.7746301,0.8595482,0.2891865
15,0.9900790,0.6061396,1.0000000,0.6909068,0.7478438,0.4649080,0.5424134,0.7508663,0.2595739
16,0.9662491,0.4504459,1.0000000,0.8248510,0.5910612,0.3155956,0.7195218,0.6023838,0.2001539
17,0.9521648,0.4635531,1.0000000,0.5865608,0.5671659,0.6821263,0.8618296,0.6017505,0.5073068
18,0.9900858,1.0000000,1.0000000,0.7190628,0.6304848,0.4580622,0.8030636,0.5889848,0.5164773
