id,inst_f1,chord_f1,time_sig_acc,pitch_oa,velocity_oa,duration_oa,chroma_sim,groove_sim,note_density_nrmse
0,0.9804668,0.5028426,1,0.6136327,0.7758791,0.5508711,0.6820093,0.8227369,0.2671413
1,0.9895998,0.03199,1,0.6997225,0.5667341,0.4794516,0.6977188,0.863635,0.1492171
2,0.8763899,0.5373238,1,0.8955964,0.715431,0.4066744,0.77282,0.6351261,0.4516053
3,0.9701045,0.4038138,1,0.6601592,0.4512102,0.5054069,0.9312333,0.8901644,0.4160316
4,1,1,1,0.735163,0.6736627,0.2871663,0.9494603,0.3215153,0.4419838
5,1,0.0226942,1,0.5674993,0.741185,0.3675188,0.7245785,0.4709318,0.4696337
6,0.9821489,1,1,0.4610474,0.5411022,0.5156025,0.5270576,0.6345719,0.3397341
7,0.973912,0.4491345,1,0.6580852,0.5310168,0.4916534,0.755277,0.7087404,0.15306
8,0.9089374,0.6691435,1,0.8486016,0.6127805,0.1772211,0.7534752,0.7924573,0.1584763
9,1,0.6473208,1,0.7001766,0.7916489,0.3372213,0.7662514,0.5235616,0.2329145
10,1,0.563206,1,0.4205258,0.6124807,0.5366185,0.8152379,0.7267602,0.5750048
11,1,0.5917985,1,0.7439182,0.348857,0.665181,0.7504629,0.7972106,0.4428284
12,0.9014532,0.4448396,1,0.7889794,0.6355445,0.6572768,0.529412,0.6228839,0.2325455
13,0.9272124,1,1,0.6037462,0.535316,0.3801048,0.7518443,0.5088264,0.4233292
14,0.9609824,0.5921129,1,0.7441586,0.8100515,0.370422,0.8694098,0.5560837,0.4851902
15,0.9811009,0.8207385,1,0.7031722,0.6246528,0.518604,0.8851448,0.4976389,0.2858541
16,0.9899957,0.2474638,1,0.7125854,0.7424317,0.5370291,0.5292116,0.5589987,0.3294889
17,0.884578,0.4877848,1,0.4201266,0.6526068,0.5043204,0.6743299,0.6796661,0.3284518
18,1,1,1,0.6455061,0.7590192,0.5473807,0.7666244,0.8660217,0.3358838
19,0.9815392,0.2704485,1,0.9404361,0.7263035,0.5347711,0.7978115,0.6946401,0.3132288
20,0.9842512,1,1,0.6227919,0.7041323,0.4268321,0.8830118,0.8026427,0.2630258
21,0.9903127,0.8645941,1,0.507969,0.5555686,0.5044861,0.6457419,0.5720969,0.2640396
22,0.9518925,0.559754,1,0.5435784,0.7004035,0.2025765,0.7931443,0.8962642,0.3042019
23,0.9777743,0.4914714,1,0.6895888,0.7076817,0.5281108,0.957832,0.6596172,0.3838592
24,0.9873179,0.250993,1,0.7116318,0.5000815,0.3732341,0.9399515,0.6246638,0.4512775
25,1,0.2372772,1,0.4876609,0.5606679,0.4672553,0.816523,0.3691954,0.1916614
26,0.9808921,0.7691782,1,0.8149795,0.2560301,0.4791712,0.7419647,0.8163249,0.1800151
27,0.9120452,1,1,0.6737965,0.6921142,0.2671156,0.7117108,0.832968,0.1160151
28,0.9794891,0.6055636,1,0.8638638,0.5898535,0.9113268,0.7896518,0.4804526,0.2057158
29,0.9908819,0.4657992,1,0.5200784,0.7166529,0.4065976,0.7310438,0.635909,0.3390817
30,0.8451316,0.6366167,1,0.4739554,0.8699084,0.534672,0.776695,0.6661159,0.204442
31,0.9909716,0.1486696,1,0.8251498,0.6104851,0.5181195,0.7815583,0.590746,0.189432
32,0.9750499,1,1,0.8990682,0.6864416,0.6190761,0.7475632,0.5951786,0.4879627
33,0.9140851,1,1,0.4684657,0.7346248,0.74157,0.6677849,0.5422442,0.4315128
34,1,0.3161793,1,0.873954,0.4572468,0.3504118,0.8457391,0.7441014,0.2712629
35,0.9896756,0.8036034,1,0.9268105,0.6827284,0.305561,0.764054,0.5017547,0.3351783
36,0.9542478,1,1,0.8770999,0.6670126,0.4294206,0.8251211,0.4989494,0.3446164
37,1,0.671346,1,0.8053171,0.7198335,0.5079707,0.6200402,0.9171406,0.7533297
38,0.9646997,0.432783,1,0.9415656,0.7172907,0.7434287,0.641762,0.5231241,0.2026639
39,0.9861523,0.3905812,1,0.864619,0.6855901,0.4585927,0.8790096,0.7037787,0.3959388
40,0.9816525,0.7442039,1,0.7603449,0.6876421,0.3954173,0.5834178,0.7619861,0.4622073
41,0.9609428,0.1961956,1,0.8971988,0.4581892,0.2240519,0.7648389,0.59435,0.5462285
42,0.9798802,0.4716685,1,0.7478569,0.3709838,0.7915669,0.8034694,0.4808522,0.3453883
43,0.9476364,0.7054915,1,0.8976527,0.725622,0.6164387,0.4252668,0.7711256,0.3056168
44,0.9905997,0.8068216,1,0.757586,0.5774936,0.6047599,0.663025,0.8102479,0.3706076
