id,inst_f1,chord_f1,time_sig_acc,pitch_oa,velocity_oa,duration_oa,chroma_sim,groove_sim,note_density_nrmse
0,0.9434492,0.5216986,1.0000000,0.6743870,0.4923606,0.7182166,0.6430467,0.5402333,0.3205885
1,1.0000000,0.2627703,1.0000000,0.9183563,0.5878551,0.5097957,0.9077890,0.4911043,0.6472360
2,0.9016226,0.5072514,1.0000000,0.8420645,0.5659356,0.4572034,0.4798844,0.4800057,0.3217833
3,0.9818182,0.4534545,1.0000000,0.7293358,0.6424667,0.5834054,0.6696537,0.5237618,0.2023079
4,0.9263319,1.0000000,1.0000000,0.9567219,0.4205739,0.5689758,0.8546252,0.6897255,0.3741663
5,0.9222784,1.0000000,1.0000000,0.8650353,0.7068901,0.6105815,0.8595130,0.5161389,0.2713988
6,0.8669108,0.4923381,0.9687500,0.8045355,0.6694003,0.3178384,0.7934867,0.6932578,0.2162302
7,0.9525672,0.4675053,1.0000000,0.7132730,0.5973297,0.3779741,0.8303142,0.4651644,0.5208556
8,0.9760762,0.5844562,1.0000000,0.6687528,0.5650438,0.5404687,0.6585940,0.7468309,0.3204353
9,0.9836383,1.0000000,1.0000000,0.6725713,0.4895113,0.5128043,0.8796479,0.6206713,0.2374020
10,0.9330441,0.5426355,1.0000000,0.8847865,0.8064239,0.8917751,0.6263906,0.6888829,0.0445530
11,0.6877308,0.5938378,0.9687500,0.8153108,0.6021553,0.5365365,0.8498614,0.8248340,0.3466767
12,0.9661035,1.0000000,1.0000000,0.8679919,0.8280225,0.6495987,0.8453064,0.5674247,0.3243543
13,1.0000000,1.0000000,1.0000000,0.4735227,0.6802186,0.1874490,0.7760170,0.4806020,0.1468404
14,0.7747832,0.5815275,1.0000000,0.7500988,0.6770063,0.7471906,0.7557246,0.5585293,0.6149132
15,0.9630057,0.3872300,1.0000000,0.4948481,0.6248367,0.5451881,0.5457274,0.6557796,0.5559972
16,0.9484743,0.4366618,1.0000000,0.8444265,0.7731649,0.6026646,0.6717853,0.6108573,0.4152060
17,0.9487320,0.4010610,1.0000000,0.7803072,0.7115101,0.6007556,0.3709457,0.3635253,0.2710691
18,0.9849352,0.3210691,1.0000000,0.8614726,0.6813791,0.2758508,0.8054978,0.5764526,0.4862972
19,0.9524203,1.0000000,1.0000000,0.8850350,0.7318192,0.1123516,0.4491030,0.6788943,0.2454348
20,0.9837421,0.6623955,1.0000000,0.7143745,0.5319337,0.5167528,0.5530856,0.5735609,0.3907290
21,0.9727292,0.1078532,1.0000000,0.7715363,0.5131253,0.4540450,0.5942097,0.2373681,0.3694230
22,1.0000000,1.0000000,1.0000000,0.8572317,0.7582463,0.6917580,0.8446284,0.3658936,0.5006225
23,0.8682312,0.8738418,1.0000000,0.6388564,0.3861239,0.3883911,0.8795858,0.3902507,0.3736569
24,0.9518773,0.6152004,1.0000000,0.7706794,0.5361914,0.2518838,0.7367024,0.7685929,0.5819331
25,0.8796567,0.0606399,1.0000000,0.7940449,0.5435434,0.5924936,0.7683547,0.4737442,0.2498114
26,0.9346425,1.0000000,1.0000000,0.5945494,0.5273523,0.7687624,0.6325719,0.4166468,0.4713982
27,0.9560609,1.0000000,1.0000000,0.4465500,0.5611317,0.6665070,0.6907948,0.7860514,0.2571635
28,0.7652063,1.0000000,1.0000000,0.8261434,0.5831914,0.5694869,0.7784869,0.4559828,0.5299597
29,0.9759045,0.5013646,1.0000000,0.7471380,0.7194360,0.6366131,0.9071839,0.5186647,0.4594945
